,0,1,2,3,4,5,6,7,class
0,-0.055577096,0.000977402,-0.080423012,-0.036212407,-0.108827703,-0.068043828,0.065806419,0.102771893,down
1,-0.056497935,0.002513236,-0.07807707,-0.032111071,-0.108195044,-0.071294121,0.071104348,0.104153454,down
2,-0.05263989,-0.002555408,-0.078612261,-0.042002976,-0.107399307,-0.063300163,0.070403822,0.109941259,down
3,-0.052239031,-0.000590701,-0.073898427,-0.035774793,-0.104213819,-0.064864479,0.069343969,0.103601448,down
4,-0.053708628,-0.000905746,-0.069229908,-0.030454518,-0.100318231,-0.070668258,0.075280942,0.101715505,down
5,-0.059027012,-0.009561186,-0.069940545,-0.034686647,-0.094080657,-0.071456634,0.084823735,0.105625339,down
6,-0.059556533,-0.009257563,-0.070638329,-0.035368331,-0.096463263,-0.073470004,0.086219877,0.107936196,down
7,-0.06274718,-0.014642938,-0.068118379,-0.03468921,-0.08923395,-0.074917227,0.089698881,0.10387703,down
8,-0.064834513,-0.01554041,-0.067270584,-0.033077903,-0.088849224,-0.078971274,0.097388729,0.106392346,down
9,-0.063730933,-0.00717378,-0.06988848,-0.028765861,-0.097346731,-0.080867141,0.093350276,0.108193912,down
10,-0.064305261,-0.012664418,-0.071747884,-0.032461837,-0.090373062,-0.074656524,0.088889621,0.103135787,down
11,-0.066797175,-0.020760093,-0.068240404,-0.034905605,-0.081065521,-0.076252289,0.097526275,0.102986522,down
12,-0.073186688,-0.031351924,-0.06610623,-0.037263185,-0.072722778,-0.081275426,0.118667588,0.111594453,down
13,-0.067219436,-0.045061696,-0.051234487,-0.040619366,-0.059331633,-0.083730645,0.124345824,0.105052762,down
14,-0.056986585,-0.048172291,-0.041538578,-0.043508071,-0.06088239,-0.083093114,0.116129979,0.097831331,down
15,-0.058961585,-0.038869735,-0.053783718,-0.045310073,-0.066224724,-0.072811991,0.1072575,0.102868013,down
16,-0.062332217,-0.052168921,-0.048076756,-0.047525916,-0.050420314,-0.074428976,0.118741103,0.100493863,down
17,-0.054825138,-0.054870311,-0.038366318,-0.0473984,-0.047531813,-0.07373713,0.120806038,0.099655285,down
18,-0.056254141,-0.05486764,-0.041773543,-0.049302142,-0.048569981,-0.07213179,0.118627869,0.100142092,down
19,-0.065168291,-0.04304184,-0.054428745,-0.043397162,-0.059441149,-0.076589517,0.119617812,0.107363172,down
20,-0.071228296,-0.035247028,-0.054688554,-0.03047682,-0.063218534,-0.088338315,0.11299374,0.093932331,down
21,-0.065402493,-0.008186336,-0.078615859,-0.034608342,-0.102620251,-0.07613492,0.083240196,0.105540231,down
22,-0.05289245,-0.001040041,-0.077219248,-0.039913904,-0.109968401,-0.065190822,0.065777048,0.10437616,down
23,-0.048118629,0.006538545,-0.080161318,-0.038719445,-0.11479342,-0.059629917,0.055994947,0.104161426,down
24,-0.04284903,0.01270966,-0.088970713,-0.045482486,-0.124961734,-0.047262978,0.041589029,0.108525954,down
